univ,prog_year,age,pos_affect,dep,prog_sat
Guelph,Third Year,27,4.6,3.4,4.2
Waterloo,Third Year,21,2.6,2.6,3.4
Guelph,Third Year,36,4.8,4.0,4.4
Guelph,Third Year,19,6.0,3.4,5.6
Guelph,Third Year,20,5.8,2.6,3.6
Guelph,Third Year,37,3.6,3.8,4.6
Guelph,Third Year,40,5.5,3.4,6.0
Waterloo,Fourth Year,30,4.2,3.6,3.0
Waterloo,Fourth Year,24,5.2,3.2,4.0
Guelph,Third Year,31,4.5,3.6,3.4
Guelph,Fourth Year,45,4.4,3.0,6.0
Guelph,Second Year,27,5.2,3.4,5.2
Guelph,Third Year,39,5.4,3.8,4.8
Guelph,Fourth Year,39,4.0,3.6,3.5
Guelph,Grad School,40,5.0,3.4,4.4
Guelph,Second Year,29,5.5,3.4,3.6
Guelph,Grad School,27,4.8,3.2,3.5
Guelph,Grad School,40,4.4,3.25,5.0
Waterloo,Third Year,21,4.2,3.2,4.2
Guelph,Third Year,26,5.2,3.4,4.4
Guelph,Second Year,31,2.8,3.6,3.4
Waterloo,Grad School,24,3.6,3.8,3.6
Guelph,Fourth Year,53,3.8,4.0,5.4
Guelph,Second Year,27,5.8,3.6,5.8
Guelph,Third Year,29,4.8,2.8,4.2
Waterloo,Grad School,26,3.0,3.6,3.4
Guelph,Second Year,19,6.0,3.4,5.4
Waterloo,Third Year,24,4.8,3.4,3.6
Guelph,First Year,24,4.6,3.4,4.4
Guelph,NA,16,2.2,3.2,3.4
Guelph,Third Year,23,4.6,3.4,5.4
Waterloo,Third Year,23,4.2,3.6,2.2
Waterloo,Second Year,20,2.2,3.0,1.4
Waterloo,Third Year,42,4.6,3.8,4.4
Guelph,NA,16,5.2,3.2,3.4
Guelph,Third Year,20,5.8,3.8,5.4
Guelph,Third Year,20,4.6,3.4,3.6
Guelph,NA,12,3.8,2.6,3.0
Guelph,Third Year,28,4.8,3.0,3.6
Waterloo,Third Year,23,5.6,4.0,1.4
Guelph,NA,12,6.0,3.2,4.0
Guelph,Fourth Year,24,4.6,3.8,3.6
Guelph,Third Year,21,4.0,3.4,4.5
Guelph,Fourth Year,50,4.4,3.4,5.6
Waterloo,Third Year,27,5.0,3.4,5.0
Guelph,Third Year,44,5.8,3.6,5.6
Guelph,Third Year,21,4.6,4.0,3.4
Guelph,Fourth Year,34,4.8,3.4,4.2
Guelph,Third Year,19,3.4,3.6,3.8
Guelph,First Year,24,4.0,3.4,4.4
Waterloo,Third Year,21,4.2,3.4,3.8
Guelph,Third Year,27,3.8,3.0,2.8
Guelph,Fourth Year,22,3.4,3.4,3.8
Waterloo,Fourth Year,51,3.0,3.5,2.5
Guelph,Third Year,35,4.8,2.8,3.2
Guelph,Fourth Year,22,5.0,3.4,5.2
Guelph,Grad School,31,3.4,3.4,1.75
Guelph,Grad School,20,4.2,3.4,2.0
Waterloo,Grad School,32,3.8,3.2,1.8
Guelph,Third Year,22,5.8,3.4,5.4
Guelph,Third Year,46,4.0,3.0,3.2
Guelph,Third Year,19,4.4,3.6,5.2
Guelph,Third Year,23,5.4,3.8,4.0
Waterloo,Grad School,41,4.0,3.4,4.6
Waterloo,Third Year,42,4.6,3.25,3.0
Guelph,NA,15,4.6,3.2,3.8
Waterloo,Third Year,22,5.6,3.4,4.2
Guelph,Fourth Year,27,4.6,3.6,5.0
Waterloo,First Year,19,3.4,3.0,4.0
Guelph,Third Year,22,5.0,2.6,3.2
Guelph,First Year,39,7.0,3.4,5.4
Guelph,Third Year,34,6.0,3.0,4.2
Waterloo,Grad School,21,4.2,3.4,3.6
Guelph,Grad School,42,5.8,4.0,5.4
Guelph,Third Year,28,5.4,4.0,5.0
Guelph,Third Year,18,5.2,3.2,3.6
Waterloo,Fourth Year,21,4.666666666666667,3.4,4.6
Guelph,First Year,21,3.3333333333333335,3.5,5.5
Waterloo,First Year,25,4.6,3.4,1.75
Guelph,Third Year,23,5.8,3.6,5.2
Guelph,Third Year,41,3.6,2.8,3.8
Waterloo,Third Year,20,3.8,3.0,3.8
Waterloo,Grad School,29,4.0,3.75,5.0
Guelph,Second Year,19,6.2,3.4,4.4
Guelph,Third Year,27,4.8,3.4,4.0
Guelph,First Year,24,4.8,3.2,3.8
Waterloo,Third Year,19,5.2,2.8,2.8
Guelph,Grad School,25,5.0,3.4,5.6
Waterloo,NA,12,2.4,3.2,4.0
Waterloo,Fourth Year,21,6.2,3.0,5.5
Guelph,Third Year,40,5.5,3.2,3.25
Guelph,Third Year,29,5.6,3.0,5.4
Waterloo,First Year,35,3.8,3.8,4.2
Guelph,NA,12,4.8,3.4,3.0
Guelph,Third Year,30,5.4,4.0,4.8
Guelph,Third Year,57,5.8,3.6,6.0
Waterloo,First Year,35,3.8,3.8,4.2
Waterloo,Third Year,18,3.8,3.2,4.6
Guelph,Third Year,24,4.4,3.4,4.0
Guelph,Third Year,39,5.8,3.6,5.4
Waterloo,NA,12,4.0,2.2,3.0
Guelph,Third Year,35,3.6,3.8,3.0
Guelph,Second Year,19,3.4,3.4,4.4
Guelph,Third Year,24,5.0,3.4,4.0
Waterloo,Fourth Year,45,4.0,3.6,4.6
Waterloo,Grad School,29,5.6,3.8,4.8
Waterloo,Fourth Year,41,3.6,3.2,3.6
Waterloo,Third Year,18,4.6,3.8,3.4
Guelph,Grad School,28,4.8,3.2,4.0
Waterloo,Third Year,30,3.6,2.6,4.6
Guelph,Second Year,18,4.2,3.2,4.8
Guelph,Third Year,20,4.0,3.0,3.25
Waterloo,Grad School,26,4.4,3.6,3.6
Guelph,Grad School,36,3.4,3.8,2.6
Guelph,Second Year,25,4.6,3.6,4.6
Waterloo,Second Year,22,2.8,2.8,2.6
Guelph,NA,12,3.4,3.4,4.4
Waterloo,Second Year,20,4.4,2.8,3.8
Waterloo,Second Year,20,4.6,3.2,4.6
Guelph,Fourth Year,52,4.2,2.2,5.0
Guelph,Third Year,40,5.4,3.8,4.8
Guelph,Third Year,57,4.6,3.2,4.0
Waterloo,Third Year,31,3.0,3.4,2.8
Guelph,Third Year,19,4.6,3.6,5.2
Guelph,Grad School,45,4.0,3.6,3.0
Guelph,First Year,20,2.0,1.8,1.6
Guelph,Grad School,24,4.0,3.6,4.0
Guelph,Third Year,21,4.6,3.25,5.0
Guelph,Third Year,36,4.6,3.0,4.0
Guelph,Grad School,48,5.0,3.4,5.4
Guelph,Second Year,27,7.0,3.4,6.0
Guelph,Second Year,28,5.0,3.0,3.6
Guelph,Fourth Year,24,4.2,2.6,4.8
Waterloo,First Year,42,4.333333333333333,3.0,3.8
Guelph,Fourth Year,52,5.4,4.0,6.0
Waterloo,Third Year,22,4.8,3.4,5.0
Guelph,Third Year,44,4.8,2.8,5.8
Waterloo,Fourth Year,20,3.4,3.8,3.4
Guelph,Grad School,35,4.4,3.8,4.4
Guelph,Third Year,28,5.2,3.2,3.8
Guelph,First Year,16,2.6,3.2,5.0
Guelph,Grad School,34,5.0,3.75,5.0
Waterloo,Fourth Year,21,3.0,2.4,2.4
Guelph,Grad School,31,5.75,3.8,4.8
Guelph,NA,16,4.0,3.4,3.4
Waterloo,NA,17,3.4,2.6,3.0
Guelph,Third Year,63,4.0,2.4,3.8
Guelph,Third Year,33,5.4,3.8,4.8
Waterloo,Third Year,20,3.4,3.6,3.4
Guelph,Fourth Year,26,4.6,3.6,4.4
Guelph,Third Year,21,4.8,3.4,3.4
Guelph,NA,11,5.4,2.6,5.2
Guelph,Grad School,23,4.2,3.8,6.0
Guelph,NA,17,1.2,2.2,1.6
Guelph,NA,61,4.8,3.4,2.4
Guelph,Third Year,23,3.6,3.25,5.4
Guelph,NA,15,3.4,3.2,1.8
Guelph,NA,16,5.2,3.6,2.4
Guelph,First Year,24,3.75,3.2,3.4
Waterloo,Third Year,29,3.8,3.6,3.8
Guelph,Third Year,18,3.0,3.8,1.8
Guelph,Third Year,24,5.0,3.0,5.0
Guelph,Fourth Year,31,5.4,3.4,4.8
Guelph,First Year,18,3.6,3.0,1.2
Guelph,Fourth Year,51,4.8,3.4,4.6
Guelph,Grad School,35,3.8,3.4,2.4
Guelph,Third Year,34,4.8,3.2,4.4
Guelph,Third Year,40,4.6,3.4,5.0
Guelph,Grad School,28,3.5,3.6,2.8
Guelph,First Year,38,4.0,2.8,1.8
Guelph,Third Year,20,3.4,4.0,3.0
Guelph,Grad School,34,4.2,3.0,5.0
Guelph,Third Year,30,6.4,2.4,5.0
Guelph,Third Year,27,5.2,3.25,4.6
Guelph,Third Year,55,5.8,3.3333333333333335,4.2
Waterloo,Third Year,29,5.4,3.2,3.8
Guelph,Third Year,25,5.0,4.0,5.2
Waterloo,Third Year,21,4.2,3.6,2.6
Guelph,Second Year,42,5.4,3.4,4.8
Guelph,Third Year,17,5.2,4.0,4.6
Waterloo,Grad School,47,3.8,3.2,4.6
Guelph,NA,15,4.0,3.6,2.2
Guelph,Fourth Year,50,2.4,3.2,2.6
Waterloo,Third Year,26,5.2,3.2,5.2
Guelph,Third Year,36,5.8,3.2,5.0
Waterloo,NA,52,4.4,3.0,4.25
Waterloo,Second Year,31,4.8,3.8,3.8
Guelph,NA,17,4.8,3.6,4.4
Waterloo,Fourth Year,41,4.8,3.6,4.4
Guelph,Third Year,37,5.0,2.8,5.0
Guelph,Fourth Year,25,4.8,3.2,4.4
Guelph,Fourth Year,25,5.4,3.4,4.8
Guelph,Third Year,30,5.4,3.4,5.6
Waterloo,Third Year,19,5.0,3.8,5.6
Guelph,Third Year,16,3.0,3.4,2.4
Waterloo,First Year,21,2.8,3.0,2.6
Guelph,Third Year,23,6.2,3.8,3.0
Guelph,Fourth Year,38,5.8,3.4,5.0
Guelph,Third Year,40,5.4,3.4,4.0
Guelph,Third Year,33,5.8,3.2,5.2
Guelph,Third Year,36,4.8,3.8,3.6
Guelph,NA,12,3.6,3.6,2.8
Waterloo,Grad School,22,4.4,3.0,2.6
Guelph,Third Year,25,4.6,3.4,4.2
Waterloo,Fourth Year,22,4.6,2.4,3.0
Guelph,NA,14,4.0,3.8,4.2
Guelph,Grad School,27,5.2,3.6,4.8
Guelph,Third Year,20,5.0,3.8,4.4
Guelph,Third Year,38,5.4,3.6,4.0
Guelph,Second Year,40,4.2,3.0,3.0
Guelph,Third Year,34,4.2,3.0,2.6
Guelph,Second Year,25,4.2,3.2,5.0
Guelph,Third Year,20,4.4,3.4,5.2
Guelph,First Year,19,4.2,3.6,2.8
Waterloo,Grad School,24,4.8,3.4,5.4
Guelph,Third Year,47,5.5,3.6,5.0
Guelph,NA,16,5.6,2.6,4.2
Guelph,Second Year,25,2.6,3.4,3.6
Guelph,Fourth Year,44,3.4,3.2,4.6
Guelph,Third Year,20,4.6,3.8,5.0
Guelph,Third Year,20,3.4,2.8,1.6
Guelph,Second Year,23,4.6,3.4,3.8
Guelph,Third Year,20,5.4,3.2,5.0
Guelph,Third Year,23,3.4,2.2,4.4
Waterloo,Third Year,33,4.8,3.4,5.4
Waterloo,Fourth Year,55,4.4,3.6,6.0
Guelph,Grad School,33,4.6,3.4,5.6
Guelph,Third Year,19,4.4,3.6,4.8
Guelph,Fourth Year,19,5.8,3.0,4.6
Guelph,Third Year,19,4.0,3.6,2.4
Guelph,Third Year,20,4.0,3.6,3.2
Guelph,Third Year,19,3.4,4.0,4.4
Guelph,NA,17,6.6,3.6,5.4
Guelph,Second Year,22,4.6,3.6,4.4
Waterloo,Third Year,21,3.8,3.6,5.4
Guelph,Fourth Year,23,5.2,3.8,4.2
Guelph,Grad School,52,5.4,3.6,5.8
Guelph,Third Year,20,3.8,3.4,3.2
Guelph,Third Year,28,3.2,3.0,2.6
Guelph,Fourth Year,29,4.6,2.75,3.8
Guelph,Fourth Year,24,5.0,3.6,4.6
Guelph,NA,13,5.8,2.8,3.4
Guelph,Third Year,22,5.4,3.0,4.6
Guelph,Third Year,20,5.0,3.2,4.0
Guelph,Third Year,18,4.0,3.6,4.4
Guelph,Grad School,21,4.2,3.0,5.2
Guelph,First Year,18,3.8,3.4,5.0
Waterloo,Third Year,22,4.8,3.4,4.8
Guelph,Third Year,39,5.8,2.8,5.2
Guelph,Third Year,25,4.6,3.6,4.2
Guelph,Third Year,25,5.8,3.2,4.0
Guelph,Third Year,19,5.4,3.4,4.8
Guelph,Fourth Year,32,3.6,3.6,3.6
Guelph,Third Year,26,4.4,3.4,5.2
Guelph,Third Year,25,3.6,3.2,2.6
Waterloo,NA,16,4.4,3.4,3.8
Guelph,Grad School,52,4.8,2.4,5.0
Guelph,First Year,18,4.6,2.6,3.6
Guelph,NA,17,4.0,3.0,1.8
Guelph,Fourth Year,30,4.6,3.8,5.0
Waterloo,Third Year,19,5.8,2.6,5.2
Waterloo,Third Year,20,3.6,3.4,4.2
Guelph,Third Year,24,4.4,3.25,4.0
Guelph,Third Year,26,5.4,3.4,5.2
Guelph,Third Year,21,5.0,3.4,5.0
Guelph,Second Year,32,4.75,3.6,5.4
Guelph,Third Year,26,5.2,3.4,5.4
Guelph,Grad School,23,4.4,3.4,4.0
Waterloo,Third Year,27,5.4,3.4,4.8
Guelph,First Year,34,4.6,3.6,4.8
Waterloo,Third Year,21,2.0,3.2,1.4
Guelph,Third Year,41,4.2,3.2,2.2
Guelph,First Year,40,4.6,3.4,5.0
Waterloo,Third Year,19,4.8,3.4,4.8
Waterloo,First Year,16,5.4,4.0,4.6
Waterloo,Third Year,19,4.0,3.2,2.2
Guelph,Grad School,24,4.4,3.8,3.8
Waterloo,Third Year,39,3.8,3.25,2.2
Guelph,Third Year,21,5.6,3.4,5.0
Guelph,Third Year,32,3.8,3.4,4.8
Waterloo,Grad School,58,4.8,3.8,4.6
Guelph,Third Year,27,4.8,2.6,4.2
Guelph,Fourth Year,29,5.8,3.2,6.0
Guelph,Fourth Year,37,4.4,3.4,2.8
Waterloo,First Year,17,2.8,3.4,4.2
Waterloo,NA,17,4.6,3.6,4.4
Guelph,Third Year,33,5.75,3.2,4.8
Guelph,Third Year,22,5.4,3.6,4.4
Guelph,Fourth Year,30,5.4,3.2,5.2
Waterloo,Grad School,24,5.2,3.0,2.6
Waterloo,NA,12,4.8,3.4,5.0
Guelph,Grad School,56,4.2,3.0,4.6
Guelph,First Year,22,5.2,3.0,5.0
Guelph,Second Year,72,5.2,3.2,5.4
Guelph,Third Year,35,3.8,3.2,3.4
Guelph,Third Year,38,7.0,3.4,3.0
Guelph,Third Year,46,5.4,3.2,5.2
Waterloo,Grad School,23,2.2,2.4,1.8
Waterloo,First Year,18,3.2,3.4,5.6
Guelph,Second Year,28,5.6,3.4,4.2
Guelph,NA,17,2.8,2.6,3.4
Waterloo,NA,17,4.2,3.2,5.0
Guelph,Third Year,36,4.6,2.0,5.4
Guelph,Grad School,27,4.4,4.0,3.0
Guelph,Fourth Year,41,4.8,3.2,4.0
Guelph,Third Year,22,6.4,2.4,5.6
Waterloo,First Year,22,3.8,4.0,1.0
Guelph,Grad School,28,5.4,3.6,3.6
Guelph,Third Year,20,4.4,3.0,4.6
Guelph,Third Year,49,4.6,3.4,3.8
Guelph,First Year,34,5.4,3.0,4.2
Waterloo,Third Year,20,4.2,3.2,4.6
Waterloo,Second Year,21,5.8,3.0,5.4
Waterloo,Third Year,22,5.6,3.2,5.4
Waterloo,Third Year,29,4.8,3.6,4.4
Guelph,Fourth Year,34,4.4,3.0,4.4
Guelph,Grad School,29,4.2,3.4,4.2
Waterloo,First Year,21,3.8,2.4,5.8
Guelph,Third Year,22,4.2,3.4,4.0
Guelph,Third Year,19,3.8,2.6,1.8
Waterloo,Third Year,34,6.5,3.4,4.2
Guelph,Third Year,25,5.8,3.4,3.6
Guelph,Third Year,55,5.8,3.5,4.2
Guelph,Fourth Year,22,2.4,3.0,4.6
Guelph,Third Year,40,5.0,3.6,4.2
Guelph,Second Year,19,5.6,3.4,3.6
Waterloo,Fourth Year,23,2.8,3.4,3.8
Waterloo,Third Year,25,4.8,3.6,5.2
Guelph,Fourth Year,34,3.2,3.4,4.6
Guelph,Third Year,19,2.8,3.2,2.4
Waterloo,Third Year,26,3.2,4.0,3.6
Guelph,Fourth Year,20,4.0,3.4,3.8
Guelph,Fourth Year,43,5.2,3.2,4.2
Waterloo,Grad School,23,6.0,3.6,4.6
Guelph,Fourth Year,26,4.4,3.0,3.8
Guelph,Second Year,23,4.4,3.6,4.4
Guelph,Third Year,29,4.0,3.2,5.0
Waterloo,Third Year,37,4.0,3.0,4.0
Guelph,Third Year,19,4.4,3.4,3.8
Waterloo,Fourth Year,28,4.0,3.0,2.2
Guelph,Second Year,47,4.4,3.6,5.6
Guelph,Fourth Year,24,5.4,3.6,4.5
Guelph,Grad School,43,5.4,3.4,4.6
Guelph,Grad School,55,3.8,3.4,5.0
Guelph,NA,14,5.2,3.0,3.2
Guelph,Third Year,23,3.8,3.2,3.0
Guelph,Third Year,19,4.2,2.75,3.4
Guelph,Third Year,33,5.2,3.6,4.4
Waterloo,Third Year,21,6.0,3.6,4.8
Guelph,Grad School,33,2.6,3.6,1.2
Waterloo,Fourth Year,28,4.8,3.4,2.0
Guelph,Second Year,50,5.0,3.4,4.6
Guelph,First Year,18,4.2,3.4,4.0
Guelph,Third Year,46,7.0,3.8,4.6
Guelph,Third Year,26,4.25,3.4,4.8
Guelph,Third Year,22,4.8,2.4,4.8
Guelph,Third Year,19,3.2,3.2,3.6
Waterloo,Third Year,23,5.8,3.6,6.0
Waterloo,Second Year,19,2.8,3.2,2.4
Guelph,Third Year,21,5.4,3.4,5.4
Guelph,First Year,21,4.4,2.8,3.5
Guelph,Grad School,25,4.6,3.0,3.6
Guelph,Grad School,30,4.4,3.8,3.8
Waterloo,Fourth Year,47,4.4,3.8,1.0
Guelph,NA,15,4.0,2.8,1.0
Guelph,Third Year,32,4.2,2.8,3.0
Guelph,Third Year,27,6.2,3.0,6.0
Waterloo,First Year,18,2.8,3.2,4.6
Guelph,Grad School,45,5.2,2.2,5.6
Guelph,Fourth Year,54,4.6,3.8,4.2
Waterloo,NA,14,5.0,3.2,3.2
Guelph,Third Year,51,5.0,3.0,3.2
Guelph,First Year,22,4.4,3.0,5.0
Waterloo,Third Year,46,4.6,3.4,5.6
Guelph,Third Year,26,5.2,3.0,6.0
Guelph,Third Year,22,3.6,2.2,5.0
Guelph,Fourth Year,37,3.4,2.8,1.4
Waterloo,Grad School,38,4.0,3.2,3.2
Waterloo,Grad School,39,5.0,3.8,5.8
Waterloo,Third Year,20,3.4,3.4,3.6
Guelph,Third Year,52,5.0,2.4,1.8
Waterloo,Second Year,31,3.4,3.0,3.0
Waterloo,Third Year,21,4.0,3.6,4.0
Guelph,Third Year,20,4.4,3.4,4.4
Waterloo,Fourth Year,28,4.2,3.2,3.6
Guelph,Fourth Year,21,4.4,3.6,5.4
Guelph,Fourth Year,30,3.4,3.0,2.6
Guelph,Third Year,19,5.2,4.0,4.6
Guelph,Third Year,19,4.8,3.4,4.4
Guelph,First Year,19,4.6,3.0,3.4
Waterloo,Grad School,33,4.0,2.8,2.0
Guelph,First Year,42,4.2,3.6,3.2
Guelph,Third Year,22,5.6,2.8,4.0
Guelph,Fourth Year,43,4.8,2.75,5.2
Guelph,Third Year,20,3.6,2.6,3.6
Guelph,Grad School,43,4.4,3.2,3.8
Guelph,Grad School,45,5.8,2.6,5.0
Waterloo,Third Year,20,5.0,2.6,5.2
Guelph,Second Year,30,3.2,2.6,3.4
Guelph,Second Year,57,4.6,3.25,3.4
Waterloo,Fourth Year,48,3.6,3.4,4.4
Guelph,Grad School,44,3.4,3.0,3.2
Guelph,Third Year,24,4.6,2.8,3.4
Guelph,Third Year,45,5.2,3.4,4.8
Waterloo,Third Year,20,4.0,3.4,2.2
Guelph,Third Year,26,4.75,4.0,5.0
Guelph,Fourth Year,19,4.0,3.25,4.6
Guelph,Third Year,24,4.6,3.2,3.8
Guelph,Third Year,22,5.0,3.6,4.6
Guelph,Third Year,24,4.4,3.4,2.8
Waterloo,Third Year,26,5.2,3.4,5.2
Guelph,Second Year,23,4.2,3.6,2.4
Waterloo,Grad School,31,3.6,3.4,5.0
Guelph,Third Year,34,5.2,3.4,5.2
Guelph,Third Year,25,4.8,3.6,4.2
Guelph,Third Year,41,4.6,3.6,4.2
Waterloo,Grad School,27,3.2,3.6,2.5
Guelph,Third Year,11,5.8,3.4,5.0
Guelph,Third Year,28,5.8,3.6,5.0
Waterloo,Grad School,26,5.4,3.8,5.6
Guelph,Fourth Year,34,3.4,4.0,4.0
Guelph,Grad School,26,4.0,3.4,3.6
Waterloo,Grad School,57,4.0,2.75,5.6
Waterloo,First Year,22,4.4,3.2,2.2
Guelph,Second Year,25,4.0,3.6,4.0
Guelph,Third Year,21,4.6,3.6,4.0
Guelph,Third Year,32,3.8,2.6,4.0
Waterloo,First Year,19,4.8,3.0,5.2
Guelph,Fourth Year,34,5.2,3.4,5.2
Guelph,First Year,18,4.0,1.8,4.0
Waterloo,NA,40,1.4,1.6,2.2
Waterloo,Third Year,21,5.4,3.2,5.0
Waterloo,Third Year,36,6.6,3.4,4.4
Waterloo,First Year,35,4.4,2.8,5.2
Guelph,Second Year,20,4.4,3.6,4.8
Guelph,Third Year,39,5.0,2.6,4.6
Guelph,Third Year,41,4.8,3.2,4.8
Guelph,Fourth Year,19,4.6,3.25,5.8
Waterloo,Grad School,42,3.2,3.6,2.4
Guelph,Third Year,20,5.8,3.6,5.4
Guelph,Grad School,40,4.0,3.4,5.2
Waterloo,Third Year,22,3.6,3.2,4.0
Guelph,Grad School,23,4.2,2.4,4.6
Guelph,NA,17,4.6,3.2,3.2
Waterloo,Fourth Year,38,4.2,3.0,4.6
Guelph,Fourth Year,23,1.4,3.2,1.4
Guelph,Third Year,20,3.8,3.2,4.6
Guelph,Fourth Year,27,2.2,2.8,1.2
Guelph,Grad School,56,4.6,3.8,5.0
Guelph,Third Year,19,3.4,3.0,1.8
Guelph,First Year,21,4.8,3.0,5.2
Guelph,Third Year,20,4.8,3.6,4.6
Waterloo,First Year,16,5.4,3.2,4.8
Guelph,Fourth Year,39,5.0,3.8,4.6
Waterloo,Grad School,32,4.6,2.8,5.4
Guelph,Grad School,31,3.8,3.6,5.6
Waterloo,Third Year,21,3.6,3.8,5.4
Waterloo,Third Year,21,4.6,3.6,5.8
Waterloo,Third Year,24,5.0,3.4,3.6
Guelph,Third Year,39,5.4,3.4,3.6
Waterloo,Third Year,26,6.6,2.6,5.8
Guelph,Third Year,26,5.0,3.4,4.8
Guelph,Third Year,41,5.6,3.8,5.0
Guelph,Third Year,22,4.6,2.6,3.4
Guelph,Fourth Year,18,4.6,3.4,4.6
Guelph,Grad School,27,3.6,3.2,3.8
Guelph,Fourth Year,24,4.0,3.8,4.4
Guelph,Third Year,27,5.6,3.8,4.0
Waterloo,Fourth Year,24,3.8,3.4,2.8
Guelph,Second Year,24,5.4,3.6,5.6
Waterloo,Grad School,28,4.4,3.6,4.8
Guelph,Third Year,19,6.2,3.8,4.8
Guelph,Third Year,38,5.0,3.2,5.0
Waterloo,Grad School,46,5.2,4.0,4.2
Waterloo,First Year,24,4.6,2.8,5.4
Guelph,Third Year,20,3.6,3.8,4.2
Waterloo,NA,17,4.8,3.6,5.6
Guelph,First Year,18,3.2,4.0,3.2
Guelph,Second Year,23,5.6,2.8,2.4
Guelph,Third Year,41,4.0,2.4,3.2
Waterloo,Grad School,26,3.8,3.8,2.6
Guelph,First Year,20,4.0,3.0,3.4
Waterloo,Fourth Year,43,5.0,4.0,1.2
Guelph,Third Year,18,5.4,3.4,4.0
Waterloo,Second Year,19,3.0,3.6,3.8
Guelph,Third Year,35,4.4,3.4,3.4
Guelph,Fourth Year,33,5.0,3.8,5.0
Guelph,Second Year,35,5.0,2.8,5.0
Waterloo,Fourth Year,34,4.2,3.6,4.8
Guelph,Grad School,53,5.8,4.0,5.4
Waterloo,First Year,19,3.8,3.4,3.4
Waterloo,Grad School,60,4.4,3.2,4.0
Guelph,Third Year,25,4.6,3.8,3.75
Guelph,Third Year,19,5.0,3.4,3.4
Guelph,Grad School,51,3.4,3.4,4.0
Guelph,Third Year,19,2.2,3.8,1.6
Guelph,Third Year,27,4.0,3.4,4.6
Guelph,Third Year,31,4.2,3.4,5.25
Waterloo,Second Year,29,5.6,2.8,5.2
Waterloo,Third Year,23,1.0,1.6,3.0
